"","date","City","ntrips","per_subscriber","per_male","median_age","weekends","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"190",2017-03-05,"Chicago",4836,0.729735318444996,0.50889164598842,31,1,14.54,0,0,0,41,60,32
"191",2017-03-05,"NY",15919,0.947044412337458,0.714115208241724,35,1,5.37,0,0,0,NA,37,14
"192",2017-03-06,"Boston",1030,0.948543689320388,0.768932038834951,30,0,8.05,0,0,NA,25,37,16
"193",2017-03-06,"Chicago",7121,0.946215419182699,0.743575340542059,34,0,21.03,0,0,0,55,65,52
"194",2017-03-06,"NY",32467,0.968121477192226,0.752240736748083,38,0,3.36,0,0,0,NA,45,26
"195",2017-03-07,"Boston",991,0.963673057517659,0.75882946518668,31,0,9.62,0.02,0,NA,36,48,30
"196",2017-03-07,"Chicago",7855,0.929217059197963,0.735837046467218,34,0,19.24,0.24,0,0,55,65,44
"197",2017-03-07,"NY",29683,0.980830778560119,0.765421284910555,37,0,4.25,0.1,0,0,NA,56,42
"198",2017-03-08,"Boston",1465,0.921501706484642,0.713993174061433,31,0,14.32,0.05,0,NA,51,57,43
"199",2017-03-08,"Chicago",6622,0.943219571126548,0.764723648444579,35,0,22.15,0,0,0,46,53,40
"200",2017-03-08,"NY",43469,0.952586901009915,0.727460949182176,37,0,7.61,0.02,0,0,NA,59,47
"201",2017-03-09,"Boston",1469,0.932607215793056,0.736555479918312,32,0,17.9,0,0,NA,46,51,38
"202",2017-03-09,"Chicago",6320,0.940822784810127,0.759810126582279,35,0,6.93,0,0,0,39,42,29
"203",2017-03-09,"NY",45252,0.949328206488111,0.731039512065765,38,0,8.72,0,0,0,NA,61,47
"204",2017-03-10,"Boston",637,0.968602825745683,0.791208791208791,30,0,8.28,0.2,2.6,NA,34,38,23
"205",2017-03-10,"Chicago",5192,0.958590138674884,0.774460708782743,35,0,14.54,0,0,0,32,36,23
"206",2017-03-10,"NY",18412,0.984629589398219,0.792309363458614,38,0,7.61,0.31,2.1,0,NA,47,23
"207",2017-03-11,"Boston",316,0.968354430379747,0.772151898734177,28,1,19.46,0.02,0.2,NA,19,23,10
"208",2017-03-11,"Chicago",2352,0.905187074829932,0.678571428571429,33,1,8.5,0,0,0,24,32,18
"209",2017-03-11,"NY",15185,0.957853144550543,0.719064866644715,36,1,9.62,0,0,1.2,NA,29,17
"210",2017-03-12,"Boston",351,0.917378917378917,0.720797720797721,28,1,16.55,0,0,NA,17,27,9
"211",2017-03-12,"Chicago",2375,0.846315789473684,0.607157894736842,33,1,6.93,0.05,0.4,0,26,36,18
"212",2017-03-12,"NY",13442,0.96391905966374,0.724743341764618,35,1,8.95,0,0,0,NA,29,19
"213",2017-03-13,"Boston",1005,0.966169154228856,0.774129353233831,31,0,10.51,0,0,NA,22,34,14
"214",2017-03-13,"Chicago",2535,0.991715976331361,0.821696252465483,35,0,10.51,0.24,3.9,2,29,31,27
"215",2017-03-13,"NY",27417,0.977714556661925,0.76434329065908,39,0,4.47,0,0,0,NA,36,20
"216",2017-03-14,"Boston",77,0.987012987012987,0.792207792207792,31.5,0,23.71,1.62,6.6,NA,31,38,27
"217",2017-03-14,"Chicago",1746,0.993127147766323,0.837915234822451,35,0,14.09,0.19,3.4,5.9,25,28,19
"218",2017-03-15,"Boston",197,0.99492385786802,0.83248730964467,30,0,19.46,0,0,NA,26,28,19
"219",2017-03-15,"Chicago",3598,0.98443579766537,0.823790994997221,35,0,11.41,0,0,2,24,33,16
"220",2017-03-16,"Boston",878,0.970387243735763,0.785876993166287,31,0,16.11,0,0,NA,26,35,22
"221",2017-03-16,"Chicago",4989,0.959310483062738,0.784926839045901,35,0,6.49,0,0,1.2,29,42,18
"222",2017-03-17,"Boston",1076,0.930297397769517,0.755576208178439,31,0,9.62,0,0,NA,33,42,27
"223",2017-03-17,"Chicago",4819,0.972608424984437,0.794148163519402,35,0,10.29,0.03,0,0,38,50,36
"224",2017-03-17,"NY",7098,0.959143420681882,0.771625810087349,38,0,6.49,0,0,3.9,NA,47,29
"225",2017-03-18,"Boston",687,0.867540029112082,0.652110625909753,29,1,11.63,0,0,NA,32,36,24
"226",2017-03-18,"Chicago",3577,0.839530332681018,0.622029633771317,32,1,12.97,0,0,0,42,45,32
"227",2017-03-18,"NY",4106,0.95811008280565,0.754992693619094,35,1,8.72,0.08,0,3.1,NA,39,34
"228",2017-03-19,"Boston",562,0.916370106761566,0.729537366548043,28,1,16.11,0.01,0,NA,34,38,31
"229",2017-03-19,"Chicago",4483,0.730091456613875,0.537809502565247,31,1,8.5,0,0,0,41,53,29
"230",2017-03-19,"NY",10550,0.921327014218009,0.701232227488152,34,1,8.28,0,0,3.1,NA,47,34
"231",2017-03-20,"Boston",1586,0.950189155107188,0.73139974779319,32,0,11.41,0,0,NA,40,53,32
"232",2017-03-20,"Chicago",6533,0.907087096280423,0.724016531455687,35,0,8.28,0.13,0,0,49,54,37
"233",2017-03-20,"NY",27378,0.966140696909928,0.755058806340858,37,0,5.14,0,0,0,NA,52,33
"234",2017-03-21,"Boston",1955,0.909462915601023,0.690537084398977,33,0,8.95,0,0,NA,45,53,40
"235",2017-03-21,"Chicago",6920,0.939017341040462,0.747109826589595,35,0,12.3,0,0,0,44,54,33
"236",2017-03-21,"NY",36824,0.962850315011949,0.744297197479904,37,0,4.03,0,0,0,NA,59,42
"237",2017-03-22,"Boston",1411,0.953933380581148,0.764705882352941,33,0,20.8,0,0,NA,38,43,18
"238",2017-03-22,"Chicago",5512,0.97478229317852,0.785921625544267,35,0,11.86,0,0,0,33,37,28
"239",2017-03-22,"NY",26927,0.980280016340476,0.778178036914621,37,0,11.41,0,0,0,NA,50,24
"240",2017-03-23,"Boston",1398,0.952789699570815,0.751072961373391,32,0,13.42,0,0,NA,25,38,18
"241",2017-03-23,"Chicago",6127,0.962134813122246,0.771666394646646,35,0,12.75,0.02,0,0,37,50,29
"242",2017-03-23,"NY",29885,0.967709553287602,0.760180692655178,38,0,4.92,0,0,0,NA,42,23
"243",2017-03-24,"Boston",1437,0.951287404314544,0.743910925539318,31,0,10.51,0.03,0,NA,35,47,27
"244",2017-03-24,"Chicago",10105,0.77902028698664,0.602078179119248,34,0,15.66,0,0,0,58,82,42
"245",2017-03-24,"NY",34018,0.960432712093597,0.750426244929155,37,0,6.26,0,0,0,NA,57,36
"246",2017-03-25,"Boston",728,0.885989010989011,0.678571428571429,29,1,6.93,0.08,0,NA,42,47,34
