School,ZipCode,Cities,StartingYear,Type,White ,NonWhite,Lunch,Math ,Reading ,Science ,Graduation,Students,Teachers,Bachelors,Masters,Doctoral,Advanced
Voa High School,55404,,9,Alternative ,6.1,93.9,85.9,0,,,8.6,143,9,17.5,0,0,0
Waconia Senior High,55387,,9,Public,92,8,9.4,66.4,72.2,64.7,96,"1,156",61,46.2,53.8,0,53.8
Waseca Senior High,56093,,9,Public,83.2,16.8,29.7,53,65.8,55.8,96.3,626,34,36.1,63.7,0,63.7
Washburn Senior High,55419,,9,Public,52.9,47.1,37.6,26.6,49,38.1,81.6,"1,537",91,54.2,44.5,0.2,44.7
Watertown Mayer High,55388,,9,Public,92.4,7.6,15,50,52,65.1,92.6,462,30,48.4,51.7,0,51.7
Waterville-Elysian-Morristown Senior,56096,,9,Public,90.8,9.2,24.3,40.4,50,44.4,90,233,17,39.7,59.1,0,59.1
Wayzata High,55446,,9,Public,70.5,29.5,9.4,73.7,71.8,76.7,95.7,"3,237",178,18.4,81.1,0.6,81.7
Wellstone International High,55406,,9,Alternative ,0.8,99.2,91.3,0,0,0,8.2,258,28,39.2,57.3,0,57.3
West Central Area Secondary,56311,,9,Public,94.8,5.2,26.9,57.1,68.3,59.2,90.4,318,16,58.4,41.6,0,41.6
Willmar Senior High,56201,,9,Public,48.5,51.5,54.4,42.4,45.4,40.5,82.4,"1,199",74,63.6,36.5,0,36.5
Windom Senior High,56101,,9,Public,74.3,25.7,42.1,61.5,55.7,52.3,100,275,28,59.8,40.2,0,40.2
Winona Senior High,55987,,9,Public,84.9,15.1,31.4,50,35.7,31.1,95.1,978,57,25.7,74.3,0,74.3
Woodbury Senior High,55125,,9,Public,63.7,36.3,15.9,66.4,75.3,72.2,95.2,"1,895",89,26.1,73.9,0,73.9
Worthington Senior High,56187,,9,Public,33.3,66.7,63.5,41.1,45.6,34.2,90.7,823,51,71.5,28.5,0,28.5
Wright Technical Center Alternative Learning Center,55313,,9,Alternative ,79.6,20.4,45.2,6.5,,15.8,46.2,127,6,82.2,17.8,0,17.8
Yellow Medicine East High School,56241,,9,Public,72.2,27.8,38,36.5,53.7,34.6,88.2,229,19,53.9,27.7,0,27.7
Zimmerman High School,55398,,9,Public,91.4,8.6,19.3,38.1,70.6,56.4,92.6,626,31,33.7,66.4,0,66.4
Zumbrota-Mazeppa Senior High,55992,,9,Public,93.8,6.2,19,66.2,73.8,73.8,88.2,333,20,29.1,70.9,0,70.9
Edina Senior High,55439,,10,Public,75.4,24.6,8.5,73.7,78.7,75.1,96.9,"2,001",97,16.6,64,0,64
Forest Lake Senior High,55025,,10,Public,88.1,11.9,15.6,63.5,70.1,82,89.8,"1,501",70,21.6,78.4,0,78.4
Hopkins Senior High,55305,,10,Public,58.7,41.3,34.2,36.7,52.4,54.2,91,"1,598",83,16.7,82.1,1.2,83.3
Secondary Technical Educational Prog S.T.E.P,55303,,10,Alternative ,69.9,30.1,35.8,15.4,,17.4,26.7,100,22,63.6,36.4,0,36.4
Shakopee Senior High,55379,,10,Public,59.8,40.2,30.6,54.7,63.7,55.7,86.9,"1,715",94,32.6,66.4,0,66.4
Sibley East-Arlington Senior High,55307,,10,Public,72.1,27.9,32.3,51.4,63.6,68.6,91,286,18,65,34.8,0,34.8
Stillwater Area High School,55082,,10,Public,85.7,14.3,12.6,53.2,66.9,66.6,89.7,"2,021",85,16.4,83.6,0,83.6
White Bear Area Learning Center,55110,,10,Alternative ,66.2,33.8,51.9,14.3,22.2,15,65.3,118,11,43.9,56.1,0,56.1
Academic Arts High School,55118,,9,Charter,53.1,46.9,32.7,6.3,18.2,22.7,26.9,94,7,100,0,0,0
Augsburg Fairview Academy,55404,,9,Charter,4.8,95.2,84.3,5,36.4,,17.8,144,11,49.1,42.9,0,42.9
Avalon School,55114,,9,Charter,69,31,23.4,26.7,73.5,64.3,78.4,139,7,0,100,0,100
City Academy,55130,,9,Charter,1.8,98.2,92,,,4.8,60.6,108,8,31.7,61,0,61
Community Of Peace Academy Secondary,55130,,9,Charter,9.8,90.2,88.2,28.1,27.7,27,86.9,273,20,59.3,40.7,0,40.7
East Range Academy Of Technical-Science,55734,,9,Charter,66.5,33.5,37.2,7.3,22.2,34.3,62.5,133,8,100,0,0,0
El Colegio Charter School,55407,,9,Charter,0,100,76.1,0,13,4.3,31.3,99,7,40.5,59.5,0,59.5
Face To Face Academy,55106,,9,Charter,38,62,89.9,50,52.6,,31.3,76,7,100,0,0,0
Fridley Senior High,55432,,9,Charter,35.2,64.8,59.9,37.9,41.5,39.2,92.9,810,46,46.1,52.8,0,52.8
Harbor City International Charter,55802,,9,Charter,82.3,17.7,34.2,46,87.1,,87.2,220,17,76.9,23.1,0,23.1
High School For Recording Arts,55104,,9,Charter,4.9,95.1,86.4,5.5,11.8,,31.3,315,12,75,25,0,25
